               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.031101,            0.020818,           0.0030967,             0.69681,             0.54572,             0.61179,             0.35618,            0.037963,            0.026429,           0.0090909,            0.005644,            0.005644,            0.005644
                  90,            0.031177,            0.020773,           0.0031484,             0.69869,             0.54705,             0.61201,             0.35632,            0.037921,            0.026422,           0.0091035,           0.0055945,           0.0055945,           0.0055945
                  91,             0.03108,            0.020848,           0.0030935,             0.69627,             0.54966,             0.61203,             0.35646,            0.037911,            0.026445,           0.0091084,            0.005545,            0.005545,            0.005545
                  92,            0.030658,            0.020692,           0.0031432,             0.69749,             0.54888,             0.61246,             0.35701,            0.037864,            0.026452,           0.0090871,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030634,            0.020563,           0.0030695,             0.69912,             0.54864,             0.61338,             0.35743,            0.037823,            0.026441,           0.0090951,            0.005446,            0.005446,            0.005446
                  94,            0.030798,            0.020765,           0.0030991,             0.69948,               0.549,             0.61312,             0.35791,            0.037793,            0.026471,           0.0091094,           0.0053965,           0.0053965,           0.0053965
                  95,            0.030772,            0.020776,           0.0029656,             0.69866,             0.54903,             0.61284,             0.35802,            0.037757,            0.026485,            0.009129,            0.005347,            0.005347,            0.005347
                  96,            0.030688,            0.020852,           0.0030416,             0.69787,              0.5496,             0.61299,             0.35858,            0.037719,            0.026467,           0.0091404,           0.0052975,           0.0052975,           0.0052975
                  97,            0.030538,            0.020583,           0.0030368,             0.69671,             0.54975,             0.61303,             0.35878,            0.037678,            0.026471,            0.009165,            0.005248,            0.005248,            0.005248
                  98,            0.030437,            0.020553,           0.0029826,             0.69988,             0.54739,             0.61296,             0.35911,            0.037668,            0.026499,           0.0091726,           0.0051985,           0.0051985,           0.0051985
                  99,            0.030549,             0.02051,           0.0029838,             0.70405,             0.54696,             0.61315,             0.35928,            0.037653,            0.026492,           0.0091651,            0.005149,            0.005149,            0.005149
                 100,            0.030412,            0.020643,           0.0029711,             0.70691,             0.54621,             0.61374,             0.35959,             0.03762,            0.026492,           0.0091643,           0.0050995,           0.0050995,           0.0050995
                 101,             0.03015,            0.020438,           0.0030152,             0.70871,             0.54631,             0.61411,             0.35976,            0.037591,            0.026489,           0.0091792,             0.00505,             0.00505,             0.00505
                 102,            0.030494,             0.02058,           0.0029783,             0.70909,             0.54586,             0.61403,             0.35981,            0.037605,            0.026498,           0.0091743,           0.0050005,           0.0050005,           0.0050005
                 103,            0.030586,            0.020824,           0.0029729,             0.70793,             0.54694,             0.61439,             0.35992,            0.037596,            0.026494,           0.0091551,            0.004951,            0.004951,            0.004951
                 104,            0.030171,            0.020303,           0.0029758,               0.707,             0.54987,              0.6142,             0.36002,            0.037581,             0.02648,            0.009165,           0.0049015,           0.0049015,           0.0049015
                 105,            0.030207,            0.020206,           0.0029672,             0.70439,             0.55006,             0.61386,             0.36012,            0.037556,            0.026494,            0.009175,            0.004852,            0.004852,            0.004852
                 106,            0.030108,            0.020295,           0.0029901,             0.70425,             0.54856,              0.6132,             0.36034,            0.037555,            0.026518,           0.0091676,           0.0048025,           0.0048025,           0.0048025
                 107,            0.029959,            0.020288,            0.002933,             0.70538,             0.54741,             0.61412,             0.36063,            0.037528,            0.026531,           0.0091695,            0.004753,            0.004753,            0.004753
                 108,            0.030022,            0.020349,           0.0029451,             0.70516,             0.54824,             0.61363,             0.36056,            0.037506,            0.026529,           0.0091622,           0.0047035,           0.0047035,           0.0047035
                 109,            0.029957,            0.020408,           0.0028731,             0.70388,             0.54941,              0.6142,             0.36104,             0.03747,            0.026525,           0.0091641,            0.004654,            0.004654,            0.004654
                 110,            0.029898,            0.020393,           0.0029167,             0.70978,              0.5457,              0.6136,             0.36151,            0.037437,            0.026518,           0.0091649,           0.0046045,           0.0046045,           0.0046045
